p_camera_given_slow, p_radar_given_slow, pd_marginal_traffic
0,0,1.09715
0,0,0.688475
0,0,0.681149
0,0,0.681018
0,0,0.681016
0,0,0.681016
0,0,0.681016
0,0,0.681016
0,0,0.681016
0,0,0.681016
60,90,79.9902
60,90,95.6271
60,90,96.9273
60,90,97.0243
60,90,97.0315
60,90,97.032
60,90,97.0321
60,90,97.0321
60,90,97.0321
70,90,97.9446
70,90,97.9915
70,90,97.9939
70,90,97.994
70,90,97.994
70,90,97.994
70,90,97.994
80,90,98.6739
80,90,98.6969
80,90,98.6977
80,100,99.6492
80,100,99.6578
80,100,99.6579
80,100,99.6579
90,100,99.6579
90,100,99.6579
90,100,99.6579
90,100,99.6579
90,100,99.6579
90,100,99.6579
90,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
100,100,99.6579
